@rowCount	1316
telo li suli.	The lake is big.	phrase
telo nasa pona!	generic toast	phrase
tenpo pimeja ni la mun li suli.	The moon is big tonight.	phrase
tenpo pimeja pini la mi lukin e sitelen tawa X-Files.	Last night I watched X-Files.	phrase
tenpo suno kama la mi wile pali.	I have to work tomorrow.	phrase
toki Inli	English	phrase
toki pona	to say nice things	phrase
toki pona li pona tawa mi.	I like Toki Pona.	phrase
toki!	Hello!, Hi!, etc.	word
tomo pi mi mute li pakala.	Our house is messed up.	phrase
waso li tawa lon kon.	Birds fly in air.	phrase
(mi meli.) mi olin e meli.	I am a lesbian	phrase
(mi mije.) mi olin e mije.	I am gay (male)	phrase
(ona) li ike	(she/he/it) is bad, I don't like (her/him/it)	phrase
(ona) li pona	(he/she/it) is good, I like (him/her/it)	phrase
(ona) li seme?	what is (she/he) like?	phrase
A: a! sina lukin ala lukin e ijo nasa ni?	Whoa! Do you see that weird thing?	phrase
A: mi mute o tawa.	Let's go.	phrase
A: mi tawa ma Elopa.	I went to Europe.	phrase
Akanisan	Afghanistan	word
Alan	Ireland, Irish Gaelic	word
Alensina	Argentina	word
Anku	Korea, Korean	word
Antola	Andorra	word
Awisi	Haiti, Haitian Creole	word
B: mi kin lukin e ona.	I see it indeed.	phrase
B: mi ken ala. mi kin moku.	I can't. I'm still eating.	phrase
B: pona! mi kin tawa ma Elopa.	Cool! I also went to Europe.	phrase
Ekato	Ecuador	word
Elena	Greece, Greek	word
Epanja	Spain, Spanish	word
Esi	Estonia, Estonian	word
Esuka	Basque Country, Basque	word
I like plants.	kasi li pona tawa mi.	phrase
Ilakija	Iraq	word
Ilan	Iran, Persian	word
Inli	England, English	word
Intonesija	Indonesia, Indonesian	word
Isale	Israel	word
Isilan	Iceland, Icelandic	word
Italija	Italy, Italian	word
Jamanija	Yemen	word
Kalalinuna	Greenland, Greenlandic	word
Kana	Ghana	word
Kanata	Canada	word
Kanse	France, French	word
Katala	Qatar	word
Katelo	Georgia, Georgian	word
Katemala	Guatemala	word
Kenata	Grenada	word
Kepeka	Quebec	word
Keposi	Cyprus	word
Kilipasi	Kiribati	word
Kinla	Wales, Welsh	word
Konko (pi ma tomo Kinsasa)	Congo, Dem. Rep.	phrase
Konko (pi ma tomo Pasawi)	Congo, P. Rep.	phrase
Kosalika	Costa Rica	word
Kosiwa	Cфte d'Ivoire	word
Kupa	Cuba	word
Kusala	Gujarat, Gujarati	word
Kuwasi	Kuweit	word
Lanka	Sri Lanka	word
Lesi	Brittany, Breton	word
Lipija	Libya	word
Lisensan	Liechtenstein	word
Lomani	Romania, Romanian	word
Losi	Russia, Russian	word
Lowasi	Croatia, Croatian	word
Lowenki	Slovakia, Slovak	word
Lowensina	Slovenia, Slovenian	word
Lunpan	Lebanon	word
Lusepu	Luxemburg	word
Luwanta	Rwanda	word
Maketonija	Macedonia	word
Malakasi	Madagascar, Malagasy	word
Malasija	Malaysia, Malay	word
Malawi	Malawi	word
Mali	Mali	word
Malipe	Morocco	word
Masija	Hungary, Hungarian	word
Masu	Egypt	word
Mesiko	Mexico	word
Mewika	USA, American	word
Mijama	Myanmar	word
Motowa	Moldova	word
Mulitanija	Mauritania	word
Namipija	Namibia	word
Naselija	Nigeria	word
Netelan	Netherlands, Dutch	word
Nijon	Japan, Japanese	word
Nise	Niger	word
Nosiki	Norway, Norwegian Bokmеl	word
Nusilan	New Zealand	word
Ontula	Honduras	word
Osalasi	Austria	word
Oselija	Australia	word
Pakisan	Pakistan	word
Palakawi	Paraguay	word
Palani	Bahrein	word
Palata	India	word
Panama	Panama	word
Panla	Bangladesh, Bengali	word
Papeto	Barbados	word
Papuwanijukini	Papua New Guinea	word
Pasila	Brasil	word
Pawama	Bahamas	word
Pelalusi	Belarus, Belarussian	word
Pelu	Peru	word
Pemuta	Bermuda	word
Penesuwela	Venezuela	word
Penin	Benin	word
Pesije	Belgium	word
Pilipina	Philipines, Tagalog	word
Pilisin	Palestine	word
Pisi	Fiji	word
Piten	Britain, UK	word
Pokasi	Bulgaria, Bulgarian	word
