@rowCount	1316
luka luka	5 + 5 = 10	phrase
luka luka luka	5 + 5 + 5 = 15	phrase
luka luka tu	5 + 5 + 2 = 12	phrase
luka luka tu tu	5 + 5 + 2 + 2 = 14	phrase
luka luka tu wan	5 + 5 + 2 + 1 = 13	phrase
luka luka wan	5 + 5 + 1 = 11	phrase
luka mi li jaki. mi wile telo e ona.	My hands are dirty. I want to wash them.	phrase
luka tu	5 + 2 = 7	phrase
luka tu tu	5 + 2 + 2 = 9	phrase
luka tu wan	5 + 2 + 1 = 8	phrase
luka wan	5 + 1 = 6	phrase
lukin e toki	read	phrase
lukin jo e pali	to be looking for a job	phrase
lupa (meli)	vagina, pussy	phrase
lupa (tomo)	window, door	phrase
lupa jaki	anus	phrase
lupa kute	ear	phrase
lupa meli	vagina	phrase
lupa meli li mama ale.	A woman's womb is the mother of all things.	phrase
lupa monsi	anus	phrase
lupa nena	nostrils	phrase
lupa pi telo jelo	urethra	phrase
ma Amelika	the Americas	phrase
ma Amelika lete	North America	phrase
ma Amelika seli	South America	phrase
ma Antasika	Antarctica	phrase
ma Apika	Africa	phrase
ma Asija	Asia	phrase
ma Elopa	Europe	phrase
ma Elopa li weka tan ma Mewika.	Europe is away from the USA.	phrase
ma Inli li pona.	England is good.	phrase
ma Mewika li weka ala tan ma Kupa.	The USA is not away from Cuba.	phrase
ma ali li pona.	All nations are good.	phrase
ma kasi	forest, jungle	phrase
ma pi jan Keli	Keli's country	phrase
ma seme li pona tawa sina?	Which countries do you like?	phrase
ma sina	your country	phrase
ma li pona lukin.	The countryside is good to look at.	phrase
ma lon telo	Island	phrase
ma mi li pimeja.	My land is dark.	phrase
ma ona	her country	phrase
ma telo	mud, swamp	phrase
ma tomo	town	phrase
ma tomo Akajela	Cairo (Egypt)	phrase
ma tomo Alana	Atlanta (USA)	phrase
ma tomo Alawa	Ottawa (Canada)	phrase
ma tomo Alipasi	Halifax (Canada)	phrase
ma tomo Anpu	Hamburg (Germany)	phrase
ma tomo Ansetan	Amsterdam (Netherlands)	phrase
ma tomo Asina	Athens (Greece)	phrase
ma tomo Ele	Los Angeles (USA)	phrase
ma tomo Esupo	Espoo (Finland)	phrase
ma tomo Iwesun	Hilversum (Netherlands)	phrase
ma tomo Kakawi	Calgary (Canada)	phrase
ma tomo Kenpisi	Cambridge (USA, GB)	phrase
ma tomo Kunte	Bangkok (Thailand)	phrase
ma tomo Lanten	London (England)	phrase
ma tomo Lesinki	Helsinki (Finland)	phrase
ma tomo Manten	Moncton (Canada)	phrase
ma tomo Mesiko	Mexico City (Mexico)	phrase
ma tomo Milano	Milan (Italy)	phrase
ma tomo Minsen	Munich (Germany)	phrase
ma tomo Monkela	Montreal (Canada)	phrase
ma tomo Napoli	Naples (Italy)	phrase
ma tomo Nujoka	New York City (USA)	phrase
ma tomo Osaka	Osaka (Japan)	phrase
ma tomo Paki	Paris (France)	phrase
ma tomo Pasen	Boston (USA)	phrase
ma tomo Peminan	Birmingham (England)	phrase
ma tomo Pesin	Beijing, Peking (China)	phrase
ma tomo Pilense	Florence (Italy)	phrase
ma tomo Polan	Portland (USA)	phrase
ma tomo Putapesi	Budapest (Hungary)	phrase
ma tomo Sakata	Jakarta (Indonesia)	phrase
ma tomo Sanpansiko	San Francisco (USA)	phrase
ma tomo Sawi	Sackville (Canada)	phrase
ma tomo Sene	Geneva (Switzerland)	phrase
ma tomo Sensan	St. John's (Canada)	phrase
ma tomo Sesija	Shediac (Canada)	phrase
ma tomo Sije	Dieppe (Canada)	phrase
ma tomo Solu	Seoul (South Korea)	phrase
ma tomo Tanpele	Tampere (Finland)	phrase
ma tomo Telawi	Tel Aviv (Israel)	phrase
ma tomo Tokijo	Tokyo (Japan)	phrase
ma tomo Towano	Toronto (Canada)	phrase
ma tomo Tuku	Turku (Finland)	phrase
ma tomo Wankuwa	Vancouver (Canada)	phrase
ma tomo Wenesija	Venice (Italy)	phrase
ma tomo lawa	capital	phrase
mama meli	mother	phrase
mama mije	father	phrase
mama mama	grandparent	phrase
mama mi li moli la mi pilin ike.	My parents die, I feel bad.	phrase
mama ona li kepeken e kasi nasa.	His mother used pot.	phrase
meli (insa)	person who identifies as female, e.g. male-to-female transsexual person	phrase
meli (olin)	wife, girlfriend	phrase
meli en mije	Gender	phrase
meli li lon sewi mije	woman on top	phrase
meli li nasa e mije.	Women will drive men crazy.	phrase
meli lili	daughter	phrase
meli mi pi nanpa wan li nasa.	My first girlfriend was crazy.	phrase
meli mije	masculine girl, butch, tomboy	phrase
meli sama	sister	phrase
meli unpa	female sexual partner	phrase
mi anpa e jan utala.	I defeated the warrior.	phrase
mi en sina li jan pona.	You and I are friends.	phrase
mi kalama kepeken ilo.	I make noise using an instrument.	phrase
mi kama e pakala.	I caused an accident.	phrase
mi kama jo e telo.	I got the water.	phrase
mi kepeken e ilo.	I'm using tools.	phrase
mi kepeken e poki ni.	I'm using that cup.	phrase
mi kule e lipu	I'm coloring the paper.	phrase
mi lon e sina.	I made you aware of reality.    I forced you to be to present and alert.	phrase
mi lon tomo.	I'm in the house.	phrase
mi olin e sina.	I love you.	phrase
mi pilin e ni: sina ike.	I think this: You're bad.	phrase
mi pilin ijo.	I'm thinking (about) something.	phrase
mi pilin ike.	I feel bad. / I feel sad.	phrase
mi pilin pi meli ni.	I'm thinking about that woman.	phrase
mi pilin pona.	I feel good. / I feel happy.	phrase
mi tawa e kiwen.	I'm moving the rock.	phrase
mi tawa tomo mi.	I'm going to my house.	phrase
mi weka.	I was away.	phrase
mi wile e ni: mi lon tomo.	I want this: I'm at home.	phrase
mi wile lon tomo.	I want to be at home. / I want in a house.	phrase
mi wile lukin e ma.	I want to see the countryside.	phrase
mi wile pakala e sina.	I must destroy you.	phrase
mi en meli mi li wan.	My girlfriend and I got married.	phrase
mi jan li suli.	I am somebody and am important.	phrase
mi jo e kili.	I have a fruit.	phrase
mi kama tan ma Mewika.	I come from America.	phrase
mi kama tan ma tomo Pelin.	I'm from Berlin.	phrase
mi ken ala ken pilin e monsi sina?	may I touch your butt?	phrase
mi kepeken e poki e ilo moku.	I'm using a bowl and a spoon.	phrase
mi kin olin e sina.	I still love you. / I love you too.	phrase
mi kute e kalama musi.	I'm listening to music.	phrase
mi kute e toki sina.	I hear your talking.	phrase
mi lape ala.	I'm not sleeping.	phrase
mi lape la ali li pona.	When I'm asleep, everything is good.	phrase
mi lape. mi sona.	I sleep. I know.	phrase
mi lawa pona e jan.	I lead people well.	phrase
mi lon ma kasi.	I'm in the forest.	phrase
mi lon tan seme?	Why am I here?	phrase
mi lukin kepeken ilo suno.	I look using a flashlight.	phrase
mi lukin taso e meli ni! ali li pona.	I only looked at that girl! Everything's okay.	phrase
mi lukin e ma. ni li pona tawa mi.	I'm watching the countryside. This is good to me.	phrase
mi lukin e ni.	I am looking at that.	phrase
mi lukin e soweli luka.	I saw five mammals.	phrase
mi lukin sewi e tomo suli.	I am looking up at the big building.	phrase
mi moku e kili e telo.	I eat/drink fruit and water.	phrase
mi moku e kili.	I eat fruit.	phrase
mi moku kepeken ilo moku.	I eat using a fork/spoon/   any type of eating utensil.	phrase
mi moku li pakala.	I eat and destroy.	phrase
mi moku lon tomo.	I eat in the house.	phrase
mi moku poka jan pona mi.	I ate beside my friend.	phrase
mi moku tan ni: mi wile moku.	I eat because I'm hungry.	phrase
mi moku lili e kili lili.	I nibble (eat a little) the small fruit.	phrase
mi moku lon poka pi jan pona mi.	I ate at side of my friend.	phrase
mi moku mute. sina moku lili.	I eat more than you.	phrase
mi musi ala.	I'm not having fun. / I'm bored.	phrase
mi musi taso.	I'm just joking.	phrase
mi mute	we, us	phrase
mi mute li lukin lili e ona.	We barely saw it.	phrase
mi mute o musi.	Let's have fun.	phrase
mi mute o tawa.	Let's go.	phrase
mi olin e sina	I love you	phrase
mi pali taso.	I just work. (All I ever do is work.)	phrase
mi pali mute la mi pilin ike.	When I work a lot, I feel bad.	phrase
mi pana e ko jaki.	I crapped.	phrase
mi pana e sona pi toki pona tawa ona.	I teach her in toki pona.	phrase
mi pana e telo jelo.	I peed.	phrase
mi pilin e ni: ona li jo ala e mani.	I think that he doesn't have money.	phrase
mi pilin e seli sijelo sina.	I feel your bodily warmth.	phrase
mi pilin lete.	I'm cold.	phrase
mi pini e lape sina.	I ended your sleep.   I woke you up.	phrase
mi pona e ijo.	I'm fixing something.	phrase
mi pona e ale mi, la mi pona e mi.	When I improve all areas of my life, I am making myself good.	phrase
mi pona e tomo tawa jan pakala.	I fixed the house for the disabled man.	phrase
mi pona.	I am/was/will be good.	phrase
mi pona. taso meli mi li pakala.	I'm okay. But my girlfriend is injured.	phrase
mi sona ala e tan.	I don't know the reason. / I don't know why.	phrase
mi sona ala e nimi pi ona mute.	I don't know their names.	phrase
mi sona e ni taso.	I know only that. (That's all I know.)	phrase
mi suli mute. sina suli lili.	I'm bigger than you.	phrase
mi suli.	I'm important. / I'm fat.	phrase
mi tawa	I'm going. Bye!	phrase
mi tawa tomo toki. ona li pona tawa mi.	I go the chat room. It is good for me.	phrase
mi telo e mi lon tomo telo.	I bathe myself in the restroom.	phrase
mi toki tawa sina.	I talk to you.	phrase
mi toki jan.	I talked about people	phrase
mi toki pi jan ike.	I talked about bad people.	phrase
mi utala ike.	I fight badly.	phrase
mi wawa ala.	I'm not strong. / I'm weak.	phrase
mi weka e ijo tu ni.	I got rid of those two things.	phrase
mi weka e ike jan, la mi weka e ike mi.	When I forgive somebody's wrongdoings, I cleanse myself of negativity.	phrase
mi wile ala pali.	I'm lazy.	phrase
mi wile ala tawa musi.	I don't want to dance.	phrase
mi wile e moku e telo.	I want food and water.	phrase
mi wile ala e ijo. mi lukin taso.	I don't want anything. I'm just looking.	phrase
mi wile ala toki pi kalama musi.	I don't want to talk about music.	phrase
mi wile e suwi!	I want a cookie!	phrase
mi wile e suwi sin!	I want another/more cookie(s)!	phrase
mi wile kama sona e toki Inli.	I want to learn English.	phrase
mi wile lukin e ma e suno.	I want to see the land and the sun.	phrase
mi wile lukin e ma ante.	I want to see other countries.	phrase
mi wile lukin e tomo mi. taso mi lon ma ante.	I want to see my house. But I'm in a different country.	phrase
mi wile moku e waso.	I want to eat chicken.	phrase
mi wile moku e kili loje.	I want to eat a red fruit.	phrase
mi wile moku. taso mi jo ala e moku.	I want to eat. But I don't have food.	phrase
mi wile pali kepeken nimi 'lon'.	I need more exercises with 'lon'.	phrase
mi wile sin e telo pi lape ala.	I need more coffee.	phrase
mi wile tawa ma Tosi.	I want to go to Germany.	phrase
mi wile tawa weka.	I want to leave.	phrase
mi wile toki meli.	I want to talk about girls.	phrase
mi wile unpa e ona.	I want to have sex with him/her.	phrase
mi wile unpa e sina	I want to have sex with you	phrase
mije (insa)	person who identifies as male, e.g. female-to-male transsexual person	phrase
mije (olin)	husband, boyfriend	phrase
mije li lon sewi meli	missionary position	phrase
mije lili	son	phrase
mije meli	feminine guy	phrase
mije sama	brother	phrase
mije unpa	male sexual partner	phrase
mije wan la nimi wan. meli wanla nimi awen.	One man one word. One woman one dictionary.	phrase
mile moku e telo	to be thirsty	phrase
moku li pona.	The food is good.	phrase
moku e telo	to drink	phrase
moku e telo nasa	to drink alcohol	phrase
moku li lon insa mi.	Food is in my stomach.	phrase
moku lili	snack, small ingestible item	phrase
moku lili pi pilin pona mute	strong euphoric drug taken orally, e.g. MDMA	phrase
moku pona!	Good food! Enjoy your meal!	phrase
moku suwi	sweets, candy, chololate, etc.	phrase
moku telo	liquid food, e.g. soup	phrase
moku walo	whiteish food, e.g. rice	phrase
mun li pimeja (ale)	it's new moon	phrase
mun li pimeja e suno	solar eclipse	phrase
mun li sike (ale)	it's full moon	phrase
musi pona!	Good fun! Have fun!	phrase
nanpa pi ilo toki	phone number	phrase
nanpa pi ma tomo	zip code	phrase
nasa lukin	funny-looking	phrase
nasin pi toki pona	the ideology behind Toki Pona	phrase
nasin ale	The Way of Life	phrase
nasin ante li pona tawa jan ante.	Different ways are good for different people.	phrase
nasin li jo e telo kiwen	the roads are icy	phrase
nasin mani li ike.	Capitalism is negative.	phrase
nasin pona	Taoism, simple or good path	phrase
nasin pona Juju	Unitarian Universalism	phrase
nasin pona Lasapali	Rastafarianism	phrase
nasin pona Latapali	Rastafarianism	phrase
nasin pona li mute.	The good ways are many. There are many right ways of doing things.	phrase
nasin sewi	religions	phrase
nasin sewi Jawatu	Judaism	phrase
nasin sewi Kolisu	Christianity	phrase
nasin sewi Puta	Buddhism	phrase
nasin sewi Silami	Islam	phrase
nasin sewi ma	earth religion, e.g. Native American beliefs	phrase
nena (lawa)	nose	phrase
nena kon	nose	phrase
nena kute	ear	phrase
nena lili (unpa) meli	clitoris	phrase
nena lili pi nena mama	nipples	phrase
nena mama, nena meli	breasts	phrase
nena meli	breasts	phrase
nena sike meli	female breasts	phrase
nena suli li pana e ko seli	a volcano is erupting	phrase
ni li ike tawa mi	That is bad to me. / I don't like that.	phrase
ni li kule seme?	What color is that?	phrase
ni li pilin lete mute.	This is very cold.	phrase
ni li pilin seli lili.	This feels warm.	phrase
ni li pona tawa mi.	That is good to me. / I like that.	phrase
ni li jan lili ona pi nanpa tu.	This is her second child.	phrase
ni li jan seme?	Who is that?	phrase
nimi 'lon' li pona ala tawa mi.	'lon' is not easy for me.	phrase
nimi pi mi mute	our names	phrase
nimi kepeken @	email  ??	phrase
o kalama ala!	Don't make noise!	phrase
o tu e palisa ni.	Split this stick.	phrase
o weka e jan lili tan ni.	Remove the kid from here	phrase
o weka e len sina.	Remove your clothes.	phrase
o jo e sijelo pona	to your health	phrase
o moli e pipi kepeken palisa.	Kill the roach with the stick.	phrase
o olin e jan poka.	Love thy neighbour.	phrase
o pana e sitelen ma tawa mi.	Give me the map.	phrase
o pana e pona tawa ma.	Love the earth. Take care of our planet.	phrase
o pana e sike tawa mi.	Give the ball to me.	phrase
o pilin e nena.	Touch the button.	phrase
o sona ala. o pali.	Stop thinking. Do stuff.	phrase
o sona e sina!	Know thyself!	phrase
o tawa musi poka mi!	Dance with me!	phrase
o tu.	Break up. Split apart.	phrase
oko mi li lukin pona	my eyes see well	phrase
oko sina li pona lukin	you have beautiful eyes	phrase
olin e jan mute	to be polyamorous	phrase
olin e meli	to love women	phrase
olin e meli e mije	to love women and men	phrase
olin e mije	to love men	phrase
olin suli li awen.	Old love never rusts.	phrase
ona anu jan ante li ike?	Is he bad, or is it the   other person who's bad?	phrase
ona li kama tawa tomo mi.	He came to my house.	phrase
ona li lon ala lon tomo?	Is he in the house?	phrase
ona li lon sewi mi.	He is above me.	phrase
ona li tawa ala tawa ma ike?	Did he go to the evil land?	phrase
ona li tawa e len mi.	She moved my clothes.	phrase
ona li tawa sewi kiwen.	She's going up the rock.	phrase
ona li wile jo e ilo.	He would like to have a tool.	phrase
ona li jo e seme?	What does he have?	phrase
ona li kama tawa ma mi.	He's coming to my country.	phrase
ona li kule e tomo tawa.	He's painting the car.	phrase
ona li lawa e jan tawa ma pona.	He led people to the good land.	phrase
ona li lukin e pipi.	He's watching the bug.	phrase
ona li lukin sama pipi.	He looks like a bug.	phrase
ona li pona e ilo.	She's fixing the machine.	phrase
ona li pona li lili.	It is good and is small.	phrase
ona li wile mute e ni.	He wants that a lot.	phrase
ona li wile ala kute e ni.	He shouldn't hear this.	phrase
ona mute	they, them	phrase
ona mute li tawa utala	They're going to the war.	phrase
ona mute li nasa e jan suli.	They drove the adults crazy.	phrase
pali ala	not working	phrase
pali e ike tawa	to do bad things to, to show disrespect for	phrase
pali li ike tawa mi.	I'm lazy.	phrase
pali li pana e sona.	One learns by experience.	phrase
pali pona	Order	phrase
pali pona li lawa tawa lon.	Good work is most importand in live. / Order is the half of the live.	phrase
palisa (mije)	penis	phrase
palisa li lawa e mije.	A man's penis control him.	phrase
palisa lili noka	toes	phrase
palisa luka	finger	phrase
palisa mije	penis	phrase
palisa sina li kiwen	your cock is hard	phrase
palisa tawa	vibrating dildo	phrase
palisa uta	tongue	phrase
pana e ko jaki	to pooh, to shit	phrase
pana e kon (pi pilin) pona	to laugh	phrase
pana e moku tawa	to feed, nourish	phrase
pana e palisa lon lupa	to penetrate	phrase
pana e palisa uta lon	to lick	phrase
pana e pilin pona tawa	to send positivity to, make feel good	phrase
pana e sona	to teach (give knowledge)	phrase
pana e telo (walo) mije	to ejaculate	phrase
pana e telo jelo	to pee, to urinate	phrase
pana e telo oko	to cry, weep	phrase
pana e uta (tawa jan, lon ijo)	to kiss	phrase
pana e uta lon lupa (meli)	to perform cunnilingus	phrase
pana e uta lon palisa	to fellate	phrase
pana wawa	BDSM	phrase
pilin ala	indifferent, unfeeling	phrase
pilin e ike jan	to pity somebody, feel bad for somebody	phrase
pilin e moli jan	to mourn somebody	phrase
pilin e weka jan	to miss somebody	phrase
pilin ike	to feel bad, sad, depressed, unhappy, bitter, discontented, grumpy	phrase
pilin ike tan	be afraid of, sad because of, regret, be offended by	phrase
pilin ike tawa	to have negative feelings for, be upset at, angry at, hate, resent	phrase
pilin ike wawa	to have intense negative feelings, be pissed off, furious	phrase
pilin nasa	to feel silly, strange, weird, crazy, drunk, high	phrase
pilin pona	to feel good, happy, content, enjoy oneself, comfortable	phrase
pilin pona li pana e sijelo pona.	Positive feelings grant good health. Mind over matter.	phrase
pilin pona mute	to feel great, amazing, awesome	phrase
pilin pona tan	to feel good because of, to enjoy	phrase
pilin wawa (unpa)	orgasm	phrase
pilin wawa	to feel strong, energetic, excited, confident, proud	phrase
pimeja laso	blueish black	phrase
pimeja li lon	it is night	phrase
pini li pona la ale li pona.	Is the end good -- everything is good.	phrase
pini palisa	glans, head of the penis	phrase
pini pi nena mama	nipples	phrase
pini pi sike sune	sylvester	phrase
pipi li lukin li unpa.	The bug looks and has sex.	phrase
pipi li lon anpa mi.	The bug is underneath me.	phrase
pipi li moku ala moku e kili?	Are the bugs eating the fruit?	phrase
pipi li moli.	The bug is dead.	phrase
pipi li moku e kasi.	Bugs eat plants.	phrase
poka mi li pakala.	My hip hurts.	phrase
poki kon	lungs	phrase
poki lete	refrigerator	phrase
poki seli	oven, microwave	phrase
poki telo	sink, bathtub	phrase
pona e pilin jan	cheer up, make somebody happy	phrase
pona lukin	beautiful, pretty, handsome	phrase
pona moku	delicious, tasty	phrase
pona unpa	sexy, good in bed	phrase
pona!	Yay! Good! Hoorah!	word
seli suno	the sun's heat	phrase
seli li lon	it's warm or hot	phrase
seli suno li seli e tomo mi.	The sun's warmth heats my home.	phrase
selo lon pini palisa	foreskin	phrase
selo mi li wile e ni: mi pilin e ona.	My skin wants this: I touch it.	phrase
sewi monsi	upper back, shoulders	phrase
sewi pi sinpin lawa	forehead	phrase
sike mama waso	egg	phrase
sike mije (tu)	testicles, balls	phrase
sike mije	man's testicles	phrase
sike suno wan	one year	phrase
sin en ante li sin e lawa li pana e sona.	Novelty and change freshen the mind and bring insight.	phrase
sina kama e ni: mi wile moku.	You caused this: I want to eat.   You made me hungry.	phrase
sina ken ala ken lape?	Can you sleep?	phrase
sina lukin ala lukin e kiwen?	Do you see the rock?  lukin  Yes  lukin ala  No	phrase
sina pana ala pana e moku tawa jan lili?	Did you give food to the child?	phrase
sina pilin e seme?	What are you thinking?	phrase
sina pilin seme?	how are you? how are you feeling?	phrase
sina pona ala pona?	Are you okay?	phrase
sina sona ala sona e toki mi?	Do you understand what I'm saying?  sona  Yes  sona ala  No	phrase
sina wile ala wile moku?	Do you want to eat?  wile  Yes  wile ala  No	phrase
sina jo e kili anu telo nasa?	Do you have the fruit,   or is it the wine that you have?	phrase
sina kama anu seme?	Are you coming or what?	phrase
sina kama tan seme?	Why did you come?	phrase
sina kama jo e jan pona lon ni.	You will get friends there.	phrase
sina kama tan ma seme?	Which country do you come from?	phrase
sina ken ala ken kama?	Can you come?	phrase
sina kepeken ala kepeken e ni?	Are you using that?	phrase
sina lon seme?	Where are you?	phrase
sina lon ala lon ma tomo Wankuwa?	Do you live in Vancouver?	phrase
sina lon ma tomo seme?	What city do you live in?	phrase
sina lukin sewi e suno.	You look up at the sun.	phrase
sina lukin e jan seme?	Whom did you see?	phrase
sina lukin e seme?	What are you watching?	phrase
sina lukin e pipi.	You're watching a bug.	phrase
sina moku e telo nasa la sina nasa.	If you drink beer, you'll be silly.	phrase
sina moli la sina ken ala toki.	If you are dead, you can't speak.	phrase
sina pakala e seme?	What did you hurt?	phrase
sina pakala e ilo kepeken nasin seme?	How did you break the tool?	phrase
sina pali e ni kepeken nasin seme?	How did you make this?	phrase
sina pana e ike, la sina kama jo e ike.	If you give evil, you will receive evil.	phrase
sina pona.	You are good. / You fix.	phrase
sina sona e toki ni la sina sona e toki pona!	Figure this one out for yourself. :o)	phrase
sina tawa ma tomo tan seme?	Why did you go to the city?	phrase
sina toki e ni tawa mi: sina moku.	You told me that you are eating.	phrase
sina toki pi mama anu jan lili?	Are you talking about the parent,   or is the child that you're talking about?	phrase
sina toki tawa jan seme?	Whom are you talking to?	phrase
sina toki tawa mi anu ona?	Are you talking to me,   or are you talking to him?	phrase
sina toki tawa mi anu seme?	You ask _me_?	phrase
sina wile kepeken e ilo.	You have to use tools.	phrase
sina wile tawa telo suli.	You want to go to the ocean.	phrase
sina wile ala wile pali? wile ala.	Do you want to work? No.	phrase
sina wile e mani anu seme?	Do you want the money or what?	phrase
sina wile kama tawa tomo toki.	You should come to the chat room.	phrase
sina wile moku anu seme?	Do you want to eat or what?	phrase
sina wile tawa ma seme?	What place do you want to go to?	phrase
sina wile toki tawa mije anu meli?	Do you want to talk a male, or a female?	phrase
sinpin (lawa)	face	phrase
sitelen e toki	to write	phrase
sitelen pi ilo nanpa	computer screen	phrase
sitelen toki	writing	phrase
sitelen unpa	visual erotica, porn	phrase
sona e toki	to know, speak, understand a language	phrase
sona mute	smart, intelligent, wise	phrase
sona pona e toki	to master a language	phrase
soweli li kama moli.	The cheetah is dying.	phrase
soweli lili pi ilo nanpa	computer mouse	phrase
soweli mi li kama moli.	My dog is dying.	phrase
suno li suli.	The sun is big.	phrase
suno li lon sewi.	The sun is in the sky.	phrase
suno li suli ala suli?	Is the sun big?	phrase
suno li jelo.	The sun is yellow.	phrase
suno li lon	it's sunny	phrase
suno li lon poka pimeja.	Light is beside darkness. Opposites are interconnected. Yin and yang.	phrase
suno pona!	Good sun! Good day!	phrase
supa lawa	pillow	phrase
supa moku	dinner table	phrase
supa monsi	chair, couch	phrase
supa pali	work desk	phrase
suwi lukin	cute	phrase
tawa musi	dance (move entertainingly)	phrase
tawa pona!	(in reply) Go well! Good bye!	phrase
tawa pona.	Good bye (spoken by the person who's staying)	phrase
telo (loje) mun	menses	phrase
telo (walo) mije	sperm, come	phrase
telo ona	his/her/its water	phrase
telo e mi	to shower	phrase
telo jaki lon nena sinpin	snot	phrase
telo jelo	urine, pee	phrase
telo kili	juice	phrase
telo kili ni li suwi.	This fruit drink is sweet.	phrase
telo kiwen	ice	phrase
telo kiwen lili li kama	it's hailing	phrase
telo li kama	it's raining	phrase
telo lili li lon kon	it's humid	phrase
telo loje	blood	phrase
telo mama soweli	cow milk	phrase
telo nasa	intoxicating liquid, e.g. alcohol	phrase
telo nasa loje seli	mulled claret	phrase
telo nasa pi wawa ala	weak beer, US American beer	phrase
telo nasa wawa	vodka, whisky,	phrase
telo pi lape ala	coffee	phrase
telo seli	hot beverage, e.g. coffee	phrase
telo seli jelo	green tea	phrase
telo seli pimeja pi lape ala	coffee	phrase
telo seli wawa	coffee	phrase
telo sijelo loje	blood (red bodily fluid)	phrase
telo suli li ike tawa mi.	I don't like the ocean.	phrase
telo suli li laso.	The big water [ocean] is blue.	phrase
telo walo mije	The fluid that a man releases during unpa.	phrase
telo wawa	energy drink	phrase
tenpo ala	never	phrase
tenpo ale	always, all the time	phrase
tenpo ali la o kama sona!	Always learn!	phrase
tenpo kama	the future (coming time)	phrase
tenpo kama lili	soon (little coming time)	phrase
tenpo lete	winter	phrase
tenpo li sijelo e sijelo ike ale.	The time heals every wounds.	phrase
tenpo li tawa la sona li kama.	Time comes -- advice comes.	phrase
tenpo lili	soon, moment, briefly	phrase
tenpo lili la mi wile weka	I must leave soon	phrase
tenpo moku	mealtime	phrase
tenpo mun	month	phrase
tenpo mun pi nanpa luka	May	phrase
tenpo mun pi nanpa luka luka	October	phrase
tenpo mun pi nanpa luka luka tu	December	phrase
tenpo mun pi nanpa luka luka wan	November	phrase
tenpo mun pi nanpa luka tu	July	phrase
tenpo mun pi nanpa luka tu tu	September	phrase
tenpo mun pi nanpa luka tu wan	August	phrase
tenpo mun pi nanpa luka wan	June	phrase
tenpo mun pi nanpa tu	February	phrase
tenpo mun pi nanpa tu tu	April	phrase
tenpo mun pi nanpa tu wan	March	phrase
tenpo mun pi nanpa wan	January	phrase
tenpo mute	often, many times	phrase
tenpo ni	the present (this time)	phrase
tenpo pi mute seme la sina sike e suno?	How old are you?	phrase
tenpo pimeja	night	phrase
tenpo pimeja ni	tonight (this dark time)	phrase
tenpo pimeja pini	last night (past dark time)	phrase
tenpo pini	the past (past time)	phrase
tenpo pona Kolisu	Chrismas	phrase
tenpo seli	summer	phrase
tenpo seme la ona li kama lon tomo sina?	When is he coming to your house?	phrase
tenpo seme?	when?	phrase
tenpo sike	year	phrase
tenpo sin	again	phrase
tenpo suli	long time	phrase
tenpo suno	day	phrase
tenpo suno kama	tomorrow	phrase
tenpo suno kama la mi pali e lipu sin.	I'll update my web page next day.	phrase
tenpo suno mute li pini la mi tawa tomo.	A lot of days ago I went home.  ?	phrase
tenpo suno ni	today	phrase
tenpo suno pi nanpa luka	Friday	phrase
tenpo suno pi nanpa luka tu	Sunday	phrase
tenpo suno pi nanpa luka wan	Saturday	phrase
tenpo suno pi nanpa tu	Tuesday	phrase
tenpo suno pi nanpa tu tu	Thursday	phrase
tenpo suno pi nanpa tu wan	Wednesday	phrase
tenpo suno pi nanpa wan	Monday	phrase
tenpo suno pi pali ala	(public) holiday	phrase
tenpo suno pini	yesterday	phrase
tenpo suno pini la wan pi ilo HTML li pona lili. tenpo suno pini la wan pi ilo HTML li pona mute.	The HTML part is better now.	phrase
tenpo suno sin	morning	phrase
tenpo suno sin ale la sina moku e telo seli pimeja	Every morning I drink coffee.	phrase
tenpo telo	rainy season	phrase
toki Alapi	Arabic	phrase
toki Apikan	Afrikaans	phrase
toki Awasa	Hausa	phrase
toki Ewantalu	Ewantal	phrase
toki Inli pona	Basic English	phrase
toki Insi	Hindi	phrase
toki Intelinka	Interlingua	phrase
toki Inu	Inupiaq, Inuktitut, Eskimo	phrase
toki Ipo	Igbo	phrase
toki Ito	Ido	phrase
toki Iwisi	Hebrew	phrase
toki Jolupa	Yoruba	phrase
toki Kalike	Scots Gaelic	phrase
toki Kantun	Cantonese	phrase
toki Kisawili	Swahili	phrase
toki Kuwenja	Quenya, Elvish	phrase
toki Lolan	Loglan	phrase
toki Loma	Latin	phrase
toki Losupan	Lojban	phrase
toki Lunasimi	Quechua	phrase
toki Malasi	Marathi	phrase
toki Nosiki sin	Norwegian Nynorsk	phrase
toki Olapu	Volapьk	phrase
toki Pansapi	Punjabi	phrase
toki Pasiki	Fyksian	phrase
toki Pasuto	Pashto	phrase
toki Sami	Laplander	phrase
toki Sankitu	Sanskrit	phrase
toki Sinan	Klingon	phrase
toki Tamasiko	Berber, Tamazight	phrase
toki Tami	Tamil	phrase
toki Teluku	Telugu	phrase
toki Utu	Urdu	phrase
toki ike	to say negative things	phrase
toki ike lon	to say bad things about, complain about	phrase
toki ike tawa	to say bad things to, insult, speak rudely to	phrase
toki li pona tawa mi.	I like talking. / I like languages.	phrase
toki li pona.	Communication is good.	phrase
toki lon toki	to speak in a language	phrase
toki nanpa wan	primary language	phrase
toki pona e toki	to speak a language well	phrase
toki pona li toki pona.	Toki Pona is a good language.	phrase
